"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"ENSG00000006576",0.024809397289988,2.5809305784899,0.0893773083466103,0.928948526113406,0.96331304375601,-6.05319490172374,"PHTF2"
"ENSG00000006607",-0.119351704806754,3.74188202137029,-0.34905110327978,0.7277343846983,0.847221233894677,-6.07794907578824,"FARP2"
"ENSG00000006611",-0.292957569927123,0.856929781449705,-0.759909592757776,0.448973599474635,0.648007396496963,-5.77688932725792,"USH1C"
"ENSG00000006625",-0.885473962018595,1.91387513841427,-2.48122741204595,0.0146438822203657,0.0904135675307844,-3.19450737432392,"GGCT"
"ENSG00000006634",0.59922198880201,3.03350213309765,1.8225984141024,0.0711465519359552,0.226231020461935,-4.51800940572229,"DBF4"
"ENSG00000006652",0.134360585164639,7.20493989620303,0.579558774300602,0.563426011497832,0.734638508917543,-6.26288348510343,"IFRD1"
"ENSG00000006695",-0.440360811348587,1.32305334445662,-1.74042237999061,0.0846492164055576,0.248958937889468,-4.62340647791513,"COX10"
"ENSG00000006704",-0.620269257619754,1.65597758937499,-2.38360086253353,0.0188998477454481,0.104318638313199,-3.40714960264171,"GTF2IRD1"
"ENSG00000006712",0.127820328501885,5.11406717722225,0.611188781086557,0.542366135439682,0.720779665540504,-6.09096189741591,"PAF1"
"ENSG00000006715",0.105863853911918,4.98193930345015,0.428952033315685,0.668817367161582,0.807945504567586,-6.17008458191744,"VPS41"
"ENSG00000006744",-0.293711625886616,3.31709061283917,-0.951772105072939,0.343349749874524,0.554752642109826,-5.66298985306009,"ELAC2"
"ENSG00000006747",0.0696616598523935,2.74819491340438,0.216648167093412,0.828893557805857,0.908495632007958,-6.05157727044995,"SCIN"
"ENSG00000006756",0.117306549046257,3.28015987250756,0.531589609727231,0.596108135269546,0.758795382565317,-5.96180644987447,"ARSD"
"ENSG00000006757",-0.4773769304,0.971058182293536,-1.92132525570375,0.0573415856208079,0.19994273401826,-4.32042188180815,"PNPLA4"
"ENSG00000006831",-0.30048296839723,4.41362193453363,-1.47870662040428,0.142145884300398,0.338257556110437,-5.14983242943972,"ADIPOR2"
"ENSG00000006837",0.291047405392106,2.27313940203881,0.880021415316319,0.380812722345134,0.586874051843848,-5.67991667508146,"CDKL3"
"ENSG00000007038",-0.304097227852035,0.814371016906097,-0.831405756746191,0.407589194971734,0.611711745052408,-5.72307286062471,"PRSS21"
"ENSG00000007047",0.105979830722778,4.43737558557088,0.462165651062672,0.644897466888058,0.792840366086292,-6.10236302490475,"MARK4"
"ENSG00000007062",-1.44618272291854,3.00377608065994,-3.41554094479076,0.000899520359720607,0.0153545577743158,-0.790622297169937,"PROM1"
"ENSG00000007080",-0.779773586166678,3.96323071979702,-2.99966046171306,0.00335984812299025,0.0369616683112324,-1.98867565774449,"CCDC124"
"ENSG00000007129",0.447844170454739,1.58992249510655,1.68958309252314,0.0940088570121323,0.265561585445344,-4.70019322268139,"CEACAM21"
"ENSG00000007168",-0.0521697167471412,6.68271055446371,-0.361208083617396,0.718653509549539,0.84171466437262,-6.33283734657976,"PAFAH1B1"
"ENSG00000007174",-1.30704992739839,3.06693521108605,-3.56458384417553,0.000545357117220208,0.0109001862587253,-0.347519532959621,"DNAH9"
"ENSG00000007202",-0.0341055442797844,4.92134806846114,-0.167357371216074,0.867403595459984,0.928556793336381,-6.23977705303015,"KIAA0100"
"ENSG00000007237",0.287334435727129,6.18965723255921,1.39577437686299,0.165661468247297,0.367880852773455,-5.41763222877816,"AC005747.1"
"ENSG00000007255",-0.764275535953852,1.85385047349177,-2.04345512125719,0.0434551920656651,0.169406682248273,-4.09022817854683,"TRAPPC6A"
"ENSG00000007264",-0.26671683773743,2.80446109884165,-0.810947153441239,0.419189575300763,0.622861809687366,-5.76178324441129,"MATK"
"ENSG00000007341",0.241294002717827,3.62758985717992,0.902315207465198,0.368908754429478,0.575776910548797,-5.74053090485082,"ST7L"
"ENSG00000007350",0.803340845606475,1.78448763529612,2.24994290832736,0.0264912333549002,0.125729608004691,-3.69366707101636,"TKTL1"
"ENSG00000007372",0.447284482384732,2.07227457658359,1.03395711934616,0.303478935437723,0.5163986229025,-5.54096769044086,"PAX6"
"ENSG00000007376",-0.245202479386761,1.25353389814292,-0.91821164553471,0.360565681268776,0.568844180853055,-5.64467346822659,"RPUSD1"
"ENSG00000007392",0.200612619316085,3.50835585552468,0.776528889095555,0.439143707364519,0.639593075044336,-5.82957945831331,"LUC7L"
"ENSG00000007516",-0.287683998700041,3.14758843391518,-0.797877957732382,0.426702041447616,0.628758578491029,-5.77765548074468,"BAIAP3"
"ENSG00000007520",-1.0380058512289,3.21252402480928,-3.46285631400135,0.000768597083235246,0.0139068635069418,-0.653218285790272,"TSR3"
"ENSG00000007541",0.0421486600778467,2.94025549867175,0.137186691970621,0.891140095063288,0.94256937493363,-6.06915817034563,"PIGQ"
"ENSG00000007545",-0.260951276077258,1.81781681573985,-0.844260569545162,0.400400573162502,0.605274646098438,-5.70112987686503,"CRAMP1"
"ENSG00000007923",-0.417687128541288,2.74750082740573,-1.25024043705491,0.213929122140118,0.42473778365334,-5.31172591644129,"DNAJC11"
"ENSG00000007933",0.00790168273036566,1.24477356740627,0.0252071393897503,0.979936521313397,0.990045473177365,-6.04772744685672,"FMO3"
"ENSG00000007944",0.467831107823594,3.95409863391784,1.41521897437725,0.159897559841174,0.360984694238755,-5.20438501583602,"MYLIP"
"ENSG00000008018",-0.777482557655323,5.23209196092305,-2.59314849439729,0.0108351918506243,0.0758657088021816,-3.09811376515221,"PSMB1"
"ENSG00000008056",-0.534272283179125,1.35014938941048,-1.88859691976213,0.0616439428141173,0.208153082660769,-4.37600463479521,"SYN1"
"ENSG00000008083",-0.033320369095257,4.67561913562418,-0.135675563631175,0.89233175203217,0.943047799912598,-6.21819658023875,"JARID2"
"ENSG00000008086",1.04641026875868,3.57465176374248,3.3870986423988,0.000988022436964528,0.0162196281684268,-0.904370793627799,"CDKL5"
"ENSG00000008118",-0.517652612882324,2.2387325186251,-1.31121666939794,0.192581188404946,0.399249198291313,-5.2361042387231,"CAMK1G"
"ENSG00000008128",0.684529342696584,4.73679731283722,2.92072097235307,0.0042568807544804,0.0430356912404567,-2.25803984100061,"CDK11A"
"ENSG00000008130",0.673185161868629,7.80300244998258,3.54109967344276,0.000590664177302812,0.0115120742019093,-0.627301452589199,"NADK"
"ENSG00000008226",-0.585967860042079,2.63923578786508,-1.73454296754884,0.0856909455460344,0.2505181187885,-4.64439766053748,"DLEC1"
"ENSG00000008256",-0.0885220239128758,2.24951840851255,-0.282341578616709,0.778225022762754,0.87839651983944,-6.01200074380526,"CYTH3"
"ENSG00000008282",-0.630644364668246,4.20102664822707,-2.48637930140105,0.0144451847955395,0.0896814761276163,-3.27241155493362,"SYPL1"
"ENSG00000008283",-1.34916521743616,3.2713169483927,-3.85413556243798,0.000198101094102776,0.00566860970587127,0.556339365862002,"CYB561"
"ENSG00000008294",0.261804768464524,7.72868891560303,1.46552362576108,0.145699814871263,0.343067783475986,-5.40854985531325,"SPAG9"
"ENSG00000008323",0.102228047865378,3.89995818195533,0.367950092257506,0.713634659995834,0.83878301246135,-6.08844510562008,"PLEKHG6"
"ENSG00000008324",-0.215909692196739,2.42558907791605,-0.61953996290945,0.536872893888102,0.716104719716254,-5.8691260646342,"SS18L2"
"ENSG00000008382",-0.231181416356617,2.2636075783742,-0.683135282927711,0.495992478500008,0.684569945242624,-5.8303674799218,"MPND"
"ENSG00000008394",-0.895251012645847,5.50680557454402,-3.1224212565673,0.00230531255393343,0.0289921731301259,-1.75157645565158,"MGST1"
"ENSG00000008405",-0.352983296439604,2.30919890173879,-1.24090288155642,0.21734550138732,0.42823770029595,-5.31727704672927,"CRY1"
"ENSG00000008438",0.724421176785164,3.12405920798094,1.63023797353385,0.105980768872832,0.285444937820089,-4.84125333546991,"PGLYRP1"
"ENSG00000008441",-0.547693664909947,2.18032009524332,-1.68165425520492,0.0955417370764859,0.268208351843163,-4.71056947442057,"NFIX"
"ENSG00000008513",0.449352332739652,6.08068616872305,2.47224636129874,0.0149961102420474,0.0917567541948002,-3.44596149144939,"ST3GAL1"
"ENSG00000008516",0.310925111865586,6.60652545158529,0.949512419880588,0.344491938921562,0.555763729662562,-5.9512842342734,"MMP25"
"ENSG00000008517",0.786077529047966,3.35755973691445,2.0803273499842,0.0398750493022124,0.160669072400532,-4.08280632033153,"IL32"
"ENSG00000008710",-0.450330424683066,3.88999394132444,-1.41344471288445,0.160417038828603,0.361688923152225,-5.18714899520306,"PKD1"
"ENSG00000008838",-0.0683778609235543,4.58760738138776,-0.247561780205809,0.804946172775505,0.894194422755718,-6.1901785947222,"MED24"
"ENSG00000008853",-0.176232793052096,1.30474696553079,-0.595837646307193,0.552537385722767,0.727462681421253,-5.87445852763788,"RHOBTB2"
"ENSG00000008869",0.577308826461297,2.83977249806149,2.05006111843397,0.0427942290156498,0.167903802416232,-4.104320804658,"HEATR5B"
"ENSG00000008952",-0.173013279592385,6.70474051461105,-0.774968675894153,0.44006116956159,0.639995363420453,-6.1027940121678,"SEC62"
"ENSG00000008988",-1.08627399796172,8.05639829727821,-5.21419569215869,9.02829275886286e-07,0.000199562332399506,5.44056403578695,"RPS20"
"ENSG00000009307",-0.51746485864599,7.01800763917647,-3.27659090836816,0.00141546126465826,0.0211442116465157,-1.39222620534604,"CSDE1"
"ENSG00000009335",-0.321077356026493,3.97179491547276,-1.51108041657319,0.133704893030365,0.326653519455225,-5.06191953539607,"UBE3C"
"ENSG00000009413",0.765755943687617,4.17227270301588,3.01444693970704,0.003212603808421,0.0360870979770302,-1.97662841626613,"REV3L"
"ENSG00000009780",0.252937399708818,3.07537443512684,0.826584396582053,0.410305372405782,0.614262461603001,-5.75492460752792,"FAM76A"
